workflow	metric	target_label	threshold_mode	threshold_value	negative_mean	negative_max	negative_sd	n_negative_for_threshold	first_detected_spike_any	first_detected_spike_50pct	first_detected_spike_95pct	first_detected_spike_all
multi_assembly	kraken_target_contigs	Plasmodium falciparum	fixed	1	0.0	0	0.0	48	5000.0	10000.0		
multi_assembly	kraken_target_contigs	Plasmodium knowlesi	fixed	1	0.0	0	0.0	24	3000.0	15000.0	15000.0	
multi_assembly	kraken_target_contigs	Plasmodium vivax	fixed	1	0.0	0	0.0	48	5000.0	10000.0		
multi_read	kraken_target_reads	Plasmodium falciparum	fixed	1	0.0	0	0.0	24	2.0	10.0	10.0	10.0
multi_read	kraken_target_reads	Plasmodium knowlesi	fixed	1	0.0	0	0.0	12	3.0	3.0	3.0	3.0
multi_read	kraken_target_reads	Plasmodium vivax	fixed	1	0.0	0	0.0	24	2.0	2.0	2.0	2.0
multi_read	metabuli_target_found	Plasmodium falciparum clade	fixed	1	0.0	0	0.0	24	2.0	2.0	2.0	2.0
multi_read	metabuli_target_found	Plasmodium knowlesi	fixed	1	1.0	1	0.0	36	1.0	1.0	1.0	1.0
multi_read	metabuli_target_found	Plasmodium knowlesi direct	fixed	1	1.0	1	0.0	12	3.0	3.0	3.0	3.0
multi_read	minimap_target_alignments	Plasmodium falciparum	fixed	1	0.0	0	0.0	24				
multi_read	minimap_target_alignments	Plasmodium knowlesi	fixed	1	0.0	0	0.0	12				
multi_read	minimap_target_alignments	Plasmodium vivax	fixed	1	0.0	0	0.0	24				
single_assembly	kraken_target_contigs	single_target	fixed	1	0.0	0	0.0	288				
single_read	kraken_target_reads	single_target	fixed	1	0.186	3	0.504	156	1.0	1.0	5.0	5.0
single_read	minimap_target_alignments	single_target	fixed	1	0.0	0	0.0	156				
