workflow	classifier	run_name	expected_target_labels	n_reported_taxa_detected	n_off_target_taxa_detected	n_false_positive_taxa	n_false_positive_off_target_taxa	off_target_taxa_detected	false_positive_taxa	false_positive_off_target_taxa	off_target_taxa_detail
single_read	kraken	main_run		27	26	27	26	Plasmodium; Plasmodium (Haemamoeba); Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA; Plasmodium chabaudi; Plasmodium chabaudi adami; Plasmodium chabaudi chabaudi; Plasmodium falciparum; Plasmodium falciparum 365.1; Plasmodium falciparum 383.1; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium malariae; Plasmodium ovale; Plasmodium praefalciparum (nom. ined.); Plasmodium reichenowi; Plasmodium relictum; Plasmodium sp. DRC-Itaito; Plasmodium vinckei; Plasmodium vinckei brucechwatti; Plasmodium vinckei petteri; Plasmodium yoelii	Plasmodium; Plasmodium (Haemamoeba); Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA; Plasmodium chabaudi; Plasmodium chabaudi adami; Plasmodium chabaudi chabaudi; Plasmodium falciparum; Plasmodium falciparum 365.1; Plasmodium falciparum 383.1; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium malariae; Plasmodium ovale; Plasmodium praefalciparum (nom. ined.); Plasmodium reichenowi; Plasmodium relictum; Plasmodium sp. DRC-Itaito; Plasmodium vinckei; Plasmodium vinckei brucechwatti; Plasmodium vinckei petteri; Plasmodium vivax; Plasmodium yoelii	Plasmodium; Plasmodium (Haemamoeba); Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA; Plasmodium chabaudi; Plasmodium chabaudi adami; Plasmodium chabaudi chabaudi; Plasmodium falciparum; Plasmodium falciparum 365.1; Plasmodium falciparum 383.1; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium malariae; Plasmodium ovale; Plasmodium praefalciparum (nom. ined.); Plasmodium reichenowi; Plasmodium relictum; Plasmodium sp. DRC-Itaito; Plasmodium vinckei; Plasmodium vinckei brucechwatti; Plasmodium vinckei petteri; Plasmodium yoelii	Plasmodium: positive_calls=0, negative_calls=93, max_assigned_count=127, mean_assigned_count=29.118, matched_targets=none | Plasmodium (Haemamoeba): positive_calls=0, negative_calls=69, max_assigned_count=45, mean_assigned_count=12.029, matched_targets=none | Plasmodium (Laverania): positive_calls=0, negative_calls=72, max_assigned_count=49, mean_assigned_count=12.014, matched_targets=none | Plasmodium (Plasmodium): positive_calls=0, negative_calls=55, max_assigned_count=12, mean_assigned_count=3.945, matched_targets=none | Plasmodium (Vinckeia): positive_calls=0, negative_calls=57, max_assigned_count=24, mean_assigned_count=6.719, matched_targets=none | Plasmodium adleri (nom. inval.): positive_calls=0, negative_calls=70, max_assigned_count=47, mean_assigned_count=11.443, matched_targets=none | Plasmodium berghei: positive_calls=0, negative_calls=50, max_assigned_count=17, mean_assigned_count=5.180, matched_targets=none | Plasmodium berghei ANKA: positive_calls=0, negative_calls=47, max_assigned_count=15, mean_assigned_count=4.681, matched_targets=none | Plasmodium chabaudi: positive_calls=0, negative_calls=13, max_assigned_count=2, mean_assigned_count=1.077, matched_targets=none | Plasmodium chabaudi adami: positive_calls=0, negative_calls=5, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium chabaudi chabaudi: positive_calls=0, negative_calls=8, max_assigned_count=2, mean_assigned_count=1.125, matched_targets=none | Plasmodium falciparum: positive_calls=0, negative_calls=15, max_assigned_count=2, mean_assigned_count=1.267, matched_targets=none | Plasmodium falciparum 365.1: positive_calls=0, negative_calls=11, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium falciparum 383.1: positive_calls=0, negative_calls=4, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium gallinaceum: positive_calls=0, negative_calls=31, max_assigned_count=4, mean_assigned_count=1.290, matched_targets=none | Plasmodium gonderi: positive_calls=0, negative_calls=23, max_assigned_count=5, mean_assigned_count=2.174, matched_targets=none | Plasmodium malariae: positive_calls=0, negative_calls=39, max_assigned_count=5, mean_assigned_count=2, matched_targets=none | Plasmodium ovale: positive_calls=0, negative_calls=31, max_assigned_count=4, mean_assigned_count=1.516, matched_targets=none | Plasmodium praefalciparum (nom. ined.): positive_calls=0, negative_calls=7, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium reichenowi: positive_calls=0, negative_calls=13, max_assigned_count=2, mean_assigned_count=1.154, matched_targets=none | Plasmodium relictum: positive_calls=0, negative_calls=68, max_assigned_count=43, mean_assigned_count=11.382, matched_targets=none | Plasmodium sp. DRC-Itaito: positive_calls=0, negative_calls=4, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium vinckei: positive_calls=0, negative_calls=13, max_assigned_count=2, mean_assigned_count=1.231, matched_targets=none | Plasmodium vinckei brucechwatti: positive_calls=0, negative_calls=6, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium vinckei petteri: positive_calls=0, negative_calls=5, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium yoelii: positive_calls=0, negative_calls=13, max_assigned_count=2, mean_assigned_count=1.154, matched_targets=none
multi_read	metabuli	spikein_multi_metabuli_panel2_20260417_151437	Plasmodium falciparum clade; Plasmodium knowlesi	26	19	7	3	Plasmodium (Haemamoeba); Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA; Plasmodium brasilianum; Plasmodium chabaudi; Plasmodium chabaudi chabaudi; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium cynomolgi strain B; Plasmodium gaboni; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei; Plasmodium vinckei vinckei; Plasmodium yoelii	Plasmodium; Plasmodium (Plasmodium); Plasmodium cynomolgi; Plasmodium cynomolgi strain B; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium vivax	Plasmodium (Plasmodium); Plasmodium cynomolgi; Plasmodium cynomolgi strain B	Plasmodium (Haemamoeba): positive_calls=7, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium (Laverania): positive_calls=132, negative_calls=0, max_assigned_count=4750, mean_assigned_count=810.629, matched_targets=none | Plasmodium (Plasmodium): positive_calls=132, negative_calls=12, max_assigned_count=4480, mean_assigned_count=711.521, matched_targets=none | Plasmodium (Vinckeia): positive_calls=27, negative_calls=0, max_assigned_count=5, mean_assigned_count=1.926, matched_targets=none | Plasmodium adleri (nom. inval.): positive_calls=27, negative_calls=0, max_assigned_count=6, mean_assigned_count=1.667, matched_targets=none | Plasmodium berghei: positive_calls=7, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium berghei ANKA: positive_calls=7, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium brasilianum: positive_calls=18, negative_calls=0, max_assigned_count=4, mean_assigned_count=1.389, matched_targets=none | Plasmodium chabaudi: positive_calls=4, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium chabaudi chabaudi: positive_calls=4, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium coatneyi: positive_calls=66, negative_calls=0, max_assigned_count=24, mean_assigned_count=6.742, matched_targets=none | Plasmodium cynomolgi: positive_calls=132, negative_calls=12, max_assigned_count=97, mean_assigned_count=15.396, matched_targets=none | Plasmodium cynomolgi strain B: positive_calls=132, negative_calls=12, max_assigned_count=97, mean_assigned_count=15.396, matched_targets=none | Plasmodium gaboni: positive_calls=30, negative_calls=0, max_assigned_count=6, mean_assigned_count=2.233, matched_targets=none | Plasmodium reichenowi: positive_calls=69, negative_calls=0, max_assigned_count=39, mean_assigned_count=10.826, matched_targets=none | Plasmodium relictum: positive_calls=7, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium vinckei: positive_calls=4, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium vinckei vinckei: positive_calls=4, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium yoelii: positive_calls=14, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.143, matched_targets=none
multi_read	metabuli	spikein_multi_metabuli_panel3_20260417_151437	Plasmodium falciparum clade; Plasmodium knowlesi; Plasmodium knowlesi direct	23	16	7	3	Plasmodium (Haemamoeba); Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA; Plasmodium brasilianum; Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium cynomolgi strain B; Plasmodium gaboni; Plasmodium reichenowi; Plasmodium relictum; Plasmodium vinckei; Plasmodium vinckei vinckei	Plasmodium; Plasmodium (Plasmodium); Plasmodium cynomolgi; Plasmodium cynomolgi strain B; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium vivax	Plasmodium (Plasmodium); Plasmodium cynomolgi; Plasmodium cynomolgi strain B	Plasmodium (Haemamoeba): positive_calls=3, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium (Laverania): positive_calls=132, negative_calls=0, max_assigned_count=4742, mean_assigned_count=810.780, matched_targets=none | Plasmodium (Plasmodium): positive_calls=132, negative_calls=12, max_assigned_count=9072, mean_assigned_count=1,432.854, matched_targets=none | Plasmodium (Vinckeia): positive_calls=37, negative_calls=0, max_assigned_count=5, mean_assigned_count=1.946, matched_targets=none | Plasmodium adleri (nom. inval.): positive_calls=26, negative_calls=0, max_assigned_count=4, mean_assigned_count=1.500, matched_targets=none | Plasmodium berghei: positive_calls=6, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium berghei ANKA: positive_calls=6, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium brasilianum: positive_calls=22, negative_calls=0, max_assigned_count=3, mean_assigned_count=1.591, matched_targets=none | Plasmodium coatneyi: positive_calls=66, negative_calls=0, max_assigned_count=33, mean_assigned_count=8.909, matched_targets=none | Plasmodium cynomolgi: positive_calls=132, negative_calls=12, max_assigned_count=97, mean_assigned_count=15.667, matched_targets=none | Plasmodium cynomolgi strain B: positive_calls=132, negative_calls=12, max_assigned_count=97, mean_assigned_count=15.667, matched_targets=none | Plasmodium gaboni: positive_calls=34, negative_calls=0, max_assigned_count=6, mean_assigned_count=2.059, matched_targets=none | Plasmodium reichenowi: positive_calls=74, negative_calls=0, max_assigned_count=62, mean_assigned_count=13.432, matched_targets=none | Plasmodium relictum: positive_calls=3, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium vinckei: positive_calls=21, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.333, matched_targets=none | Plasmodium vinckei vinckei: positive_calls=21, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.333, matched_targets=none
multi_read	metabuli	spikein_single_metabuli_panel1_20260417_151437	Plasmodium knowlesi	10	5	7	3	Plasmodium (Plasmodium); Plasmodium coatneyi; Plasmodium cynomolgi; Plasmodium cynomolgi strain B; Plasmodium malariae	Plasmodium; Plasmodium (Plasmodium); Plasmodium cynomolgi; Plasmodium cynomolgi strain B; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium vivax	Plasmodium (Plasmodium); Plasmodium cynomolgi; Plasmodium cynomolgi strain B	Plasmodium (Plasmodium): positive_calls=132, negative_calls=12, max_assigned_count=4450, mean_assigned_count=705.243, matched_targets=none | Plasmodium coatneyi: positive_calls=70, negative_calls=0, max_assigned_count=30, mean_assigned_count=7.714, matched_targets=none | Plasmodium cynomolgi: positive_calls=132, negative_calls=12, max_assigned_count=93, mean_assigned_count=14.875, matched_targets=none | Plasmodium cynomolgi strain B: positive_calls=132, negative_calls=12, max_assigned_count=93, mean_assigned_count=14.875, matched_targets=none | Plasmodium malariae: positive_calls=5, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none
single_assembly	kraken	main_run		6	6	6	6	Plasmodium; Plasmodium (Laverania); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA	Plasmodium; Plasmodium (Laverania); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA	Plasmodium; Plasmodium (Laverania); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA	Plasmodium: positive_calls=0, negative_calls=10, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium (Laverania): positive_calls=0, negative_calls=6, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium (Vinckeia): positive_calls=0, negative_calls=1, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium adleri (nom. inval.): positive_calls=0, negative_calls=5, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium berghei: positive_calls=0, negative_calls=1, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium berghei ANKA: positive_calls=0, negative_calls=1, max_assigned_count=1, mean_assigned_count=1, matched_targets=none
multi_read	kraken	spikein_multi_read_panel2_20260417_151425	Plasmodium falciparum; Plasmodium vivax	38	26	0	0	Plasmodium (Haemamoeba); Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA; Plasmodium cf. malariae; Plasmodium chabaudi; Plasmodium chabaudi adami; Plasmodium coatneyi; Plasmodium gaboni; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium inui San Antonio 1; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium malariae; Plasmodium ovale; Plasmodium praefalciparum (nom. ined.); Plasmodium reichenowi; Plasmodium relictum; Plasmodium sp. DRC-Itaito; Plasmodium vinckei; Plasmodium vinckei brucechwatti			Plasmodium (Haemamoeba): positive_calls=61, negative_calls=0, max_assigned_count=27, mean_assigned_count=8.115, matched_targets=none | Plasmodium (Laverania): positive_calls=132, negative_calls=0, max_assigned_count=5011, mean_assigned_count=856.333, matched_targets=none | Plasmodium (Plasmodium): positive_calls=132, negative_calls=0, max_assigned_count=4811, mean_assigned_count=823.682, matched_targets=none | Plasmodium (Vinckeia): positive_calls=54, negative_calls=0, max_assigned_count=16, mean_assigned_count=3.519, matched_targets=none | Plasmodium adleri (nom. inval.): positive_calls=129, negative_calls=0, max_assigned_count=3021, mean_assigned_count=518.349, matched_targets=none | Plasmodium berghei: positive_calls=48, negative_calls=0, max_assigned_count=12, mean_assigned_count=3.250, matched_targets=none | Plasmodium berghei ANKA: positive_calls=46, negative_calls=0, max_assigned_count=12, mean_assigned_count=3.087, matched_targets=none | Plasmodium cf. malariae: positive_calls=87, negative_calls=0, max_assigned_count=141, mean_assigned_count=32.667, matched_targets=none | Plasmodium chabaudi: positive_calls=20, negative_calls=0, max_assigned_count=3, mean_assigned_count=1.100, matched_targets=none | Plasmodium chabaudi adami: positive_calls=15, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.067, matched_targets=none | Plasmodium coatneyi: positive_calls=24, negative_calls=0, max_assigned_count=6, mean_assigned_count=1.792, matched_targets=none | Plasmodium gaboni: positive_calls=34, negative_calls=0, max_assigned_count=8, mean_assigned_count=2.647, matched_targets=none | Plasmodium gallinaceum: positive_calls=13, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.077, matched_targets=none | Plasmodium gonderi: positive_calls=23, negative_calls=0, max_assigned_count=3, mean_assigned_count=1.304, matched_targets=none | Plasmodium inui: positive_calls=21, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.143, matched_targets=none | Plasmodium inui San Antonio 1: positive_calls=21, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.143, matched_targets=none | Plasmodium knowlesi: positive_calls=25, negative_calls=0, max_assigned_count=4, mean_assigned_count=1.360, matched_targets=none | Plasmodium knowlesi strain H: positive_calls=10, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium malariae: positive_calls=5, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium ovale: positive_calls=20, negative_calls=0, max_assigned_count=3, mean_assigned_count=1.200, matched_targets=none | Plasmodium praefalciparum (nom. ined.): positive_calls=60, negative_calls=0, max_assigned_count=31, mean_assigned_count=8.450, matched_targets=none | Plasmodium reichenowi: positive_calls=73, negative_calls=0, max_assigned_count=58, mean_assigned_count=15.452, matched_targets=none | Plasmodium relictum: positive_calls=60, negative_calls=0, max_assigned_count=27, mean_assigned_count=8.017, matched_targets=none | Plasmodium sp. DRC-Itaito: positive_calls=19, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.158, matched_targets=none | Plasmodium vinckei: positive_calls=11, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.091, matched_targets=none | Plasmodium vinckei brucechwatti: positive_calls=11, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.091, matched_targets=none
single_read	kraken	spikein_single_read_20260417_151414	single_target	23	22	0	0	Plasmodium; Plasmodium (Haemamoeba); Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA; Plasmodium cf. malariae; Plasmodium coatneyi; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium inui San Antonio 1; Plasmodium knowlesi; Plasmodium knowlesi strain H; Plasmodium malariae; Plasmodium ovale; Plasmodium relictum; Plasmodium vinckei; Plasmodium vinckei brucechwatti; Plasmodium yoelii			Plasmodium: positive_calls=131, negative_calls=0, max_assigned_count=4874, mean_assigned_count=841.023, matched_targets=none | Plasmodium (Haemamoeba): positive_calls=50, negative_calls=0, max_assigned_count=17, mean_assigned_count=4.620, matched_targets=none | Plasmodium (Laverania): positive_calls=72, negative_calls=0, max_assigned_count=28, mean_assigned_count=7.722, matched_targets=none | Plasmodium (Plasmodium): positive_calls=131, negative_calls=0, max_assigned_count=4833, mean_assigned_count=832.695, matched_targets=none | Plasmodium (Vinckeia): positive_calls=36, negative_calls=0, max_assigned_count=6, mean_assigned_count=2.611, matched_targets=none | Plasmodium adleri (nom. inval.): positive_calls=72, negative_calls=0, max_assigned_count=28, mean_assigned_count=7.722, matched_targets=none | Plasmodium berghei: positive_calls=34, negative_calls=0, max_assigned_count=6, mean_assigned_count=2.265, matched_targets=none | Plasmodium berghei ANKA: positive_calls=34, negative_calls=0, max_assigned_count=6, mean_assigned_count=2.265, matched_targets=none | Plasmodium cf. malariae: positive_calls=91, negative_calls=0, max_assigned_count=163, mean_assigned_count=36.077, matched_targets=none | Plasmodium coatneyi: positive_calls=11, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.273, matched_targets=none | Plasmodium gallinaceum: positive_calls=7, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium gonderi: positive_calls=14, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.143, matched_targets=none | Plasmodium inui: positive_calls=31, negative_calls=0, max_assigned_count=6, mean_assigned_count=2.097, matched_targets=none | Plasmodium inui San Antonio 1: positive_calls=31, negative_calls=0, max_assigned_count=6, mean_assigned_count=2.097, matched_targets=none | Plasmodium knowlesi: positive_calls=21, negative_calls=0, max_assigned_count=3, mean_assigned_count=1.429, matched_targets=none | Plasmodium knowlesi strain H: positive_calls=14, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.214, matched_targets=none | Plasmodium malariae: positive_calls=7, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium ovale: positive_calls=3, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium relictum: positive_calls=49, negative_calls=0, max_assigned_count=17, mean_assigned_count=4.571, matched_targets=none | Plasmodium vinckei: positive_calls=9, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.111, matched_targets=none | Plasmodium vinckei brucechwatti: positive_calls=9, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.111, matched_targets=none | Plasmodium yoelii: positive_calls=7, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none
multi_read	kraken	spikein_multi_read_panel3_20260417_151431	Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax	25	19	0	0	Plasmodium (Haemamoeba); Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium (Vinckeia); Plasmodium adleri (nom. inval.); Plasmodium berghei; Plasmodium berghei ANKA; Plasmodium cf. malariae; Plasmodium chabaudi; Plasmodium coatneyi; Plasmodium gallinaceum; Plasmodium gonderi; Plasmodium inui; Plasmodium inui San Antonio 1; Plasmodium malariae; Plasmodium ovale; Plasmodium relictum; Plasmodium sp. DRC-Itaito; Plasmodium yoelii			Plasmodium (Haemamoeba): positive_calls=57, negative_calls=0, max_assigned_count=27, mean_assigned_count=7.281, matched_targets=none | Plasmodium (Laverania): positive_calls=77, negative_calls=0, max_assigned_count=49, mean_assigned_count=12.974, matched_targets=none | Plasmodium (Plasmodium): positive_calls=132, negative_calls=0, max_assigned_count=9684, mean_assigned_count=1,658.621, matched_targets=none | Plasmodium (Vinckeia): positive_calls=49, negative_calls=0, max_assigned_count=12, mean_assigned_count=4.102, matched_targets=none | Plasmodium adleri (nom. inval.): positive_calls=77, negative_calls=0, max_assigned_count=49, mean_assigned_count=12.740, matched_targets=none | Plasmodium berghei: positive_calls=43, negative_calls=0, max_assigned_count=10, mean_assigned_count=3.209, matched_targets=none | Plasmodium berghei ANKA: positive_calls=43, negative_calls=0, max_assigned_count=10, mean_assigned_count=3.209, matched_targets=none | Plasmodium cf. malariae: positive_calls=88, negative_calls=0, max_assigned_count=145, mean_assigned_count=31.898, matched_targets=none | Plasmodium chabaudi: positive_calls=4, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium coatneyi: positive_calls=46, negative_calls=0, max_assigned_count=13, mean_assigned_count=4.978, matched_targets=none | Plasmodium gallinaceum: positive_calls=5, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium gonderi: positive_calls=13, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium inui: positive_calls=35, negative_calls=0, max_assigned_count=7, mean_assigned_count=2.086, matched_targets=none | Plasmodium inui San Antonio 1: positive_calls=35, negative_calls=0, max_assigned_count=7, mean_assigned_count=2.086, matched_targets=none | Plasmodium malariae: positive_calls=6, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium ovale: positive_calls=5, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium relictum: positive_calls=57, negative_calls=0, max_assigned_count=26, mean_assigned_count=7.158, matched_targets=none | Plasmodium sp. DRC-Itaito: positive_calls=6, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none | Plasmodium yoelii: positive_calls=12, negative_calls=0, max_assigned_count=2, mean_assigned_count=1.083, matched_targets=none
multi_assembly	kraken	spikein_multi_flye_medaka_panel2_20260417_151425	Plasmodium falciparum; Plasmodium vivax	8	4	0	0	Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium cf. malariae			Plasmodium (Laverania): positive_calls=21, negative_calls=0, max_assigned_count=10, mean_assigned_count=3.476, matched_targets=none | Plasmodium (Plasmodium): positive_calls=15, negative_calls=0, max_assigned_count=7, mean_assigned_count=2.667, matched_targets=none | Plasmodium adleri (nom. inval.): positive_calls=18, negative_calls=0, max_assigned_count=8, mean_assigned_count=3.056, matched_targets=none | Plasmodium cf. malariae: positive_calls=1, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none
multi_assembly	kraken	spikein_multi_flye_panel2_20260417_151425	Plasmodium falciparum; Plasmodium vivax	11	4	0	0	Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium cf. malariae			Plasmodium (Laverania): positive_calls=22, negative_calls=0, max_assigned_count=9, mean_assigned_count=4.273, matched_targets=none | Plasmodium (Plasmodium): positive_calls=15, negative_calls=0, max_assigned_count=7, mean_assigned_count=2.800, matched_targets=none | Plasmodium adleri (nom. inval.): positive_calls=19, negative_calls=0, max_assigned_count=7, mean_assigned_count=3.421, matched_targets=none | Plasmodium cf. malariae: positive_calls=2, negative_calls=0, max_assigned_count=1, mean_assigned_count=1, matched_targets=none
