workflow	classifier	run_name	n_observations	n_positive_observations	n_negative_observations	n_positive_any_expected	n_positive_all_expected	n_positive_clean	n_positive_with_off_target	n_negative_clean	n_negative_with_any_taxon	n_negative_with_off_target	any_expected_sensitivity	all_expected_sensitivity	clean_sensitivity	positive_off_target_rate	taxonomic_specificity	taxonomic_false_positive_rate	off_target_negative_rate	clean_precision	clean_f1	mean_reported_taxa_positive	mean_off_target_taxa_positive	mean_taxonomic_precision_positive	median_off_target_taxa_positive
multi_read	metabuli	spikein_multi_metabuli_panel2_20260417_151437	144	132	12	132	0	0	132	0	12	12	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0		12.962	6.235	0.081	5.0
multi_read	metabuli	spikein_multi_metabuli_panel3_20260417_151437	144	132	12	132	0	0	132	0	12	12	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0		13.098	6.417	0.08	5.0
multi_read	metabuli	spikein_single_metabuli_panel1_20260417_151437	144	132	12	132	132	0	132	0	12	12	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0		8.303	3.568	0.122	4.0
single_assembly	kraken	main_run	9	0	9	0	0	0	0	0	9	9					0.0	1.0	1.0	0.0					
single_read	kraken	main_run	93	0	93	0	0	0	0	0	93	93					0.0	1.0	1.0	0.0					
multi_assembly	kraken	spikein_multi_flye_medaka_panel2_20260417_151425	23	23	0	17	9	0	22	0	0	0	0.739	0.391	0.0	0.957						5.0	2.391	0.192	3.0
multi_assembly	kraken	spikein_multi_flye_medaka_panel3_20260417_151431	23	23	0	21	9	0	23	0	0	0	0.913	0.391	0.0	1.0						6.696	2.478	0.272	3.0
multi_assembly	kraken	spikein_multi_flye_panel2_20260417_151425	23	23	0	18	12	0	23	0	0	0	0.783	0.522	0.0	1.0						5.609	2.522	0.205	3.0
multi_assembly	kraken	spikein_multi_flye_panel3_20260417_151431	24	24	0	23	7	0	24	0	0	0	0.958	0.292	0.0	1.0						6.458	2.458	0.298	3.0
multi_read	kraken	spikein_multi_read_panel2_20260417_151425	132	132	0	132	122	0	132	0	0	0	1.0	0.924	0.0	1.0						16.924	8.742	0.152	7.0
multi_read	kraken	spikein_multi_read_panel3_20260417_151431	132	132	0	132	3	0	132	0	0	0	1.0	0.023	0.0	1.0						9.947	5.985	0.259	4.0
single_read	kraken	spikein_single_read_20260417_151414	131	131	0	128	128	0	131	0	0	0	0.977	0.977	0.0	1.0						7.573	6.595	0.187	5.0
