workflow	metric	target_label	min_detect_value	target_fpr	n_positive	n_negative	conservative_zero_observed_fp__threshold_value	conservative_zero_observed_fp__tp	conservative_zero_observed_fp__fn	conservative_zero_observed_fp__fp	conservative_zero_observed_fp__tn	conservative_zero_observed_fp__n_positive	conservative_zero_observed_fp__n_negative	conservative_zero_observed_fp__sensitivity	conservative_zero_observed_fp__sensitivity_ci_low	conservative_zero_observed_fp__sensitivity_ci_high	conservative_zero_observed_fp__specificity	conservative_zero_observed_fp__specificity_ci_low	conservative_zero_observed_fp__specificity_ci_high	conservative_zero_observed_fp__precision	conservative_zero_observed_fp__precision_ci_low	conservative_zero_observed_fp__precision_ci_high	conservative_zero_observed_fp__false_positive_rate	conservative_zero_observed_fp__false_positive_rate_ci_low	conservative_zero_observed_fp__false_positive_rate_ci_high	conservative_zero_observed_fp__false_negative_rate	conservative_zero_observed_fp__accuracy	conservative_zero_observed_fp__balanced_accuracy	conservative_zero_observed_fp__f1_score	conservative_zero_observed_fp__youden_j	conservative_zero_observed_fp__lod50_spike_n	conservative_zero_observed_fp__lod95_spike_n	conservative_zero_observed_fp__lod100_spike_n	conservative_zero_observed_fp__rule_note	balanced_youden_j__workflow	balanced_youden_j__metric	balanced_youden_j__target_label	balanced_youden_j__threshold_value	balanced_youden_j__tp	balanced_youden_j__fn	balanced_youden_j__fp	balanced_youden_j__tn	balanced_youden_j__n_positive	balanced_youden_j__n_negative	balanced_youden_j__sensitivity	balanced_youden_j__sensitivity_ci_low	balanced_youden_j__sensitivity_ci_high	balanced_youden_j__specificity	balanced_youden_j__specificity_ci_low	balanced_youden_j__specificity_ci_high	balanced_youden_j__precision	balanced_youden_j__precision_ci_low	balanced_youden_j__precision_ci_high	balanced_youden_j__false_positive_rate	balanced_youden_j__false_positive_rate_ci_low	balanced_youden_j__false_positive_rate_ci_high	balanced_youden_j__false_negative_rate	balanced_youden_j__accuracy	balanced_youden_j__balanced_accuracy	balanced_youden_j__f1_score	balanced_youden_j__youden_j	balanced_youden_j__lod50_spike_n	balanced_youden_j__lod95_spike_n	balanced_youden_j__lod100_spike_n	balanced_youden_j___youden_sort	balanced_youden_j___spec_sort	balanced_youden_j___sens_sort	balanced_youden_j__rule_note	target_fpr_le_0.05__workflow	target_fpr_le_0.05__metric	target_fpr_le_0.05__target_label	target_fpr_le_0.05__threshold_value	target_fpr_le_0.05__tp	target_fpr_le_0.05__fn	target_fpr_le_0.05__fp	target_fpr_le_0.05__tn	target_fpr_le_0.05__n_positive	target_fpr_le_0.05__n_negative	target_fpr_le_0.05__sensitivity	target_fpr_le_0.05__sensitivity_ci_low	target_fpr_le_0.05__sensitivity_ci_high	target_fpr_le_0.05__specificity	target_fpr_le_0.05__specificity_ci_low	target_fpr_le_0.05__specificity_ci_high	target_fpr_le_0.05__precision	target_fpr_le_0.05__precision_ci_low	target_fpr_le_0.05__precision_ci_high	target_fpr_le_0.05__false_positive_rate	target_fpr_le_0.05__false_positive_rate_ci_low	target_fpr_le_0.05__false_positive_rate_ci_high	target_fpr_le_0.05__false_negative_rate	target_fpr_le_0.05__accuracy	target_fpr_le_0.05__balanced_accuracy	target_fpr_le_0.05__f1_score	target_fpr_le_0.05__youden_j	target_fpr_le_0.05__lod50_spike_n	target_fpr_le_0.05__lod95_spike_n	target_fpr_le_0.05__lod100_spike_n	target_fpr_le_0.05__rule_note	negative_mean_plus_2sd__threshold_value	negative_mean_plus_2sd__tp	negative_mean_plus_2sd__fn	negative_mean_plus_2sd__fp	negative_mean_plus_2sd__tn	negative_mean_plus_2sd__n_positive	negative_mean_plus_2sd__n_negative	negative_mean_plus_2sd__sensitivity	negative_mean_plus_2sd__sensitivity_ci_low	negative_mean_plus_2sd__sensitivity_ci_high	negative_mean_plus_2sd__specificity	negative_mean_plus_2sd__specificity_ci_low	negative_mean_plus_2sd__specificity_ci_high	negative_mean_plus_2sd__precision	negative_mean_plus_2sd__precision_ci_low	negative_mean_plus_2sd__precision_ci_high	negative_mean_plus_2sd__false_positive_rate	negative_mean_plus_2sd__false_positive_rate_ci_low	negative_mean_plus_2sd__false_positive_rate_ci_high	negative_mean_plus_2sd__false_negative_rate	negative_mean_plus_2sd__accuracy	negative_mean_plus_2sd__balanced_accuracy	negative_mean_plus_2sd__f1_score	negative_mean_plus_2sd__youden_j	negative_mean_plus_2sd__lod50_spike_n	negative_mean_plus_2sd__lod95_spike_n	negative_mean_plus_2sd__lod100_spike_n	negative_mean_plus_2sd__rule_note	usually_background_at_or_below	grey_zone_from	grey_zone_to	likely_true_signal_at_or_above	plain_language_recommendation	overlap_assessment
multi_assembly	kraken_target_contigs	Plasmodium falciparum	1	0.05	528	48	1	52	476	0	48	528	48	0.098	0.076	0.127	1	0.926	1.0	1.0	0.931	1.0	0	0	0.074	0.902	0.174	0.549	0.179	0.098	10000.0			Threshold set just above the maximum observed negative value, so no observed negatives exceed it in the current data.	multi_assembly	kraken_target_contigs	Plasmodium falciparum	1	52	476	0	48	528	48	0.098	0.076	0.127	1.0	0.926	1.0	1.0	0.931	1.0	0.0	0.0	0.074	0.902	0.174	0.549	0.179	0.098	10000.0			0.098	1.0	0.098	Threshold chosen to maximise Youden's J, balancing sensitivity and specificity.	multi_assembly	kraken_target_contigs	Plasmodium falciparum	1	52	476	0	48	528	48	0.098	0.076	0.127	1.0	0.926	1.0	1.0	0.931	1.0	0.0	0.0	0.074	0.902	0.174	0.549	0.179	0.098	10000.0			Selected from thresholds with observed false-positive rate at or below the requested target.	1.0	52	476	0	48	528	48	0.098	0.076	0.127	1.0	0.926	1.0	1.0	0.931	1.0	0.0	0.0	0.074	0.902	0.174	0.549	0.179	0.098	10000.0			Reference threshold based on the negative mean plus two standard deviations.	1			1	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.	High overlap between background and true signal
multi_assembly	kraken_target_contigs	Plasmodium knowlesi	1	0.05	264	24	1	34	230	0	24	264	24	0.129	0.094	0.175	1	0.862	1.0	1.0	0.898	1.0	0	0	0.138	0.871	0.201	0.564	0.228	0.129	15000.0	15000.0		Threshold set just above the maximum observed negative value, so no observed negatives exceed it in the current data.	multi_assembly	kraken_target_contigs	Plasmodium knowlesi	1	34	230	0	24	264	24	0.129	0.094	0.175	1.0	0.862	1.0	1.0	0.898	1.0	0.0	0.0	0.138	0.871	0.201	0.564	0.228	0.129	15000.0	15000.0		0.129	1.0	0.129	Threshold chosen to maximise Youden's J, balancing sensitivity and specificity.	multi_assembly	kraken_target_contigs	Plasmodium knowlesi	1	34	230	0	24	264	24	0.129	0.094	0.175	1.0	0.862	1.0	1.0	0.898	1.0	0.0	0.0	0.138	0.871	0.201	0.564	0.228	0.129	15000.0	15000.0		Selected from thresholds with observed false-positive rate at or below the requested target.	1.0	34	230	0	24	264	24	0.129	0.094	0.175	1.0	0.862	1.0	1.0	0.898	1.0	0.0	0.0	0.138	0.871	0.201	0.564	0.228	0.129	15000.0	15000.0		Reference threshold based on the negative mean plus two standard deviations.	1			1	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.	High overlap between background and true signal
multi_assembly	kraken_target_contigs	Plasmodium vivax	1	0.05	528	48	1	62	466	0	48	528	48	0.117	0.093	0.148	1	0.926	1.0	1.0	0.942	1.0	0	0	0.074	0.883	0.191	0.559	0.21	0.117	10000.0			Threshold set just above the maximum observed negative value, so no observed negatives exceed it in the current data.	multi_assembly	kraken_target_contigs	Plasmodium vivax	1	62	466	0	48	528	48	0.117	0.093	0.148	1.0	0.926	1.0	1.0	0.942	1.0	0.0	0.0	0.074	0.883	0.191	0.559	0.21	0.117	10000.0			0.117	1.0	0.117	Threshold chosen to maximise Youden's J, balancing sensitivity and specificity.	multi_assembly	kraken_target_contigs	Plasmodium vivax	1	62	466	0	48	528	48	0.117	0.093	0.148	1.0	0.926	1.0	1.0	0.942	1.0	0.0	0.0	0.074	0.883	0.191	0.559	0.21	0.117	10000.0			Selected from thresholds with observed false-positive rate at or below the requested target.	1.0	62	466	0	48	528	48	0.117	0.093	0.148	1.0	0.926	1.0	1.0	0.942	1.0	0.0	0.0	0.074	0.883	0.191	0.559	0.21	0.117	10000.0			Reference threshold based on the negative mean plus two standard deviations.	1			1	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.	High overlap between background and true signal
multi_read	kraken_target_reads	Plasmodium falciparum	1	0.05	264	24	1	125	139	0	24	264	24	0.473	0.414	0.534	1	0.862	1.0	1.0	0.97	1.0	0	0	0.138	0.527	0.517	0.737	0.643	0.473	10.0	10.0	10.0	Threshold set just above the maximum observed negative value, so no observed negatives exceed it in the current data.	multi_read	kraken_target_reads	Plasmodium falciparum	1	125	139	0	24	264	24	0.473	0.414	0.534	1.0	0.862	1.0	1.0	0.97	1.0	0.0	0.0	0.138	0.527	0.517	0.737	0.643	0.473	10.0	10.0	10.0	0.473	1.0	0.473	Threshold chosen to maximise Youden's J, balancing sensitivity and specificity.	multi_read	kraken_target_reads	Plasmodium falciparum	1	125	139	0	24	264	24	0.473	0.414	0.534	1.0	0.862	1.0	1.0	0.97	1.0	0.0	0.0	0.138	0.527	0.517	0.737	0.643	0.473	10.0	10.0	10.0	Selected from thresholds with observed false-positive rate at or below the requested target.	1.0	125	139	0	24	264	24	0.473	0.414	0.534	1.0	0.862	1.0	1.0	0.97	1.0	0.0	0.0	0.138	0.527	0.517	0.737	0.643	0.473	10.0	10.0	10.0	Reference threshold based on the negative mean plus two standard deviations.	1			1	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.	High overlap between background and true signal
multi_read	kraken_target_reads	Plasmodium knowlesi	1	0.05	132	12	1	132	0	0	12	132	12	1.0	0.972	1.0	1	0.757	1.0	1.0	0.972	1.0	0	0	0.243	0.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	Threshold set just above the maximum observed negative value, so no observed negatives exceed it in the current data.	multi_read	kraken_target_reads	Plasmodium knowlesi	1	132	0	0	12	132	12	1.0	0.972	1.0	1.0	0.757	1.0	1.0	0.972	1.0	0.0	0.0	0.243	0.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	1.0	1.0	1.0	Threshold chosen to maximise Youden's J, balancing sensitivity and specificity.	multi_read	kraken_target_reads	Plasmodium knowlesi	1	132	0	0	12	132	12	1.0	0.972	1.0	1.0	0.757	1.0	1.0	0.972	1.0	0.0	0.0	0.243	0.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	Selected from thresholds with observed false-positive rate at or below the requested target.	1.0	132	0	0	12	132	12	1.0	0.972	1.0	1.0	0.757	1.0	1.0	0.972	1.0	0.0	0.0	0.243	0.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	Reference threshold based on the negative mean plus two standard deviations.	1			1	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.	Low overlap and clearer separation
multi_read	kraken_target_reads	Plasmodium vivax	1	0.05	264	24	1	264	0	0	24	264	24	1.0	0.986	1.0	1	0.862	1.0	1.0	0.986	1.0	0	0	0.138	0.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	Threshold set just above the maximum observed negative value, so no observed negatives exceed it in the current data.	multi_read	kraken_target_reads	Plasmodium vivax	1	264	0	0	24	264	24	1.0	0.986	1.0	1.0	0.862	1.0	1.0	0.986	1.0	0.0	0.0	0.138	0.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	Threshold chosen to maximise Youden's J, balancing sensitivity and specificity.	multi_read	kraken_target_reads	Plasmodium vivax	1	264	0	0	24	264	24	1.0	0.986	1.0	1.0	0.862	1.0	1.0	0.986	1.0	0.0	0.0	0.138	0.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	Selected from thresholds with observed false-positive rate at or below the requested target.	1.0	264	0	0	24	264	24	1.0	0.986	1.0	1.0	0.862	1.0	1.0	0.986	1.0	0.0	0.0	0.138	0.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	Reference threshold based on the negative mean plus two standard deviations.	1			1	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.	Low overlap and clearer separation
multi_read	metabuli_target_found	Plasmodium falciparum clade	1	0.05	264	24	1	263	1	0	24	264	24	0.996	0.979	0.999	1	0.862	1.0	1.0	0.986	1.0	0	0	0.138	0.004	0.997	0.998	0.998	0.996	2.0	2.0	2.0	Threshold set just above the maximum observed negative value, so no observed negatives exceed it in the current data.	multi_read	metabuli_target_found	Plasmodium falciparum clade	1	263	1	0	24	264	24	0.996	0.979	0.999	1.0	0.862	1.0	1.0	0.986	1.0	0.0	0.0	0.138	0.004	0.997	0.998	0.998	0.996	2.0	2.0	2.0	0.996	1.0	0.996	Threshold chosen to maximise Youden's J, balancing sensitivity and specificity.	multi_read	metabuli_target_found	Plasmodium falciparum clade	1	263	1	0	24	264	24	0.996	0.979	0.999	1.0	0.862	1.0	1.0	0.986	1.0	0.0	0.0	0.138	0.004	0.997	0.998	0.998	0.996	2.0	2.0	2.0	Selected from thresholds with observed false-positive rate at or below the requested target.	1.0	263	1	0	24	264	24	0.996	0.979	0.999	1.0	0.862	1.0	1.0	0.986	1.0	0.0	0.0	0.138	0.004	0.997	0.998	0.998	0.996	2.0	2.0	2.0	Reference threshold based on the negative mean plus two standard deviations.	1			1	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.	Low overlap and clearer separation
multi_read	metabuli_target_found	Plasmodium knowlesi	1	0.05	396	36	2	0	396	0	36	396	36	0.0	0.0	0.01	1	0.904	1.0				0	0	0.096	1.0	0.083	0.5	0.0	0.0				Threshold set just above the maximum observed negative value, so no observed negatives exceed it in the current data.	multi_read	metabuli_target_found	Plasmodium knowlesi	2	0	396	0	36	396	36	0.0	0.0	0.01	1.0	0.904	1.0				0.0	0.0	0.096	1.0	0.083	0.5	0.0	0.0				0.0	1.0	0.0	Threshold chosen to maximise Youden's J, balancing sensitivity and specificity.	multi_read	metabuli_target_found	Plasmodium knowlesi	2	0	396	0	36	396	36	0.0	0.0	0.01	1.0	0.904	1.0				0.0	0.0	0.096	1.0	0.083	0.5	0.0	0.0				Selected from thresholds with observed false-positive rate at or below the requested target.	1.0	396	0	36	0	396	36	1.0	0.99	1.0	0.0	0.0	0.096	0.917	0.887	0.939	1.0	0.904	1.0	0.0	0.917	0.5	0.957	0.0	1.0	1.0	1.0	Reference threshold based on the negative mean plus two standard deviations.	1	1.0	2.0	2	At or below 1 the signal is usually background. Above 1 and below 2 is a grey zone. At or above 2 the signal is more likely to be real in the current benchmark.	High overlap between background and true signal
multi_read	metabuli_target_found	Plasmodium knowlesi direct	1	0.05	132	12	2	0	132	0	12	132	12	0.0	0.0	0.028	1	0.757	1.0				0	0	0.243	1.0	0.083	0.5	0.0	0.0				Threshold set just above the maximum observed negative value, so no observed negatives exceed it in the current data.	multi_read	metabuli_target_found	Plasmodium knowlesi direct	2	0	132	0	12	132	12	0.0	0.0	0.028	1.0	0.757	1.0				0.0	0.0	0.243	1.0	0.083	0.5	0.0	0.0				0.0	1.0	0.0	Threshold chosen to maximise Youden's J, balancing sensitivity and specificity.	multi_read	metabuli_target_found	Plasmodium knowlesi direct	2	0	132	0	12	132	12	0.0	0.0	0.028	1.0	0.757	1.0				0.0	0.0	0.243	1.0	0.083	0.5	0.0	0.0				Selected from thresholds with observed false-positive rate at or below the requested target.	1.0	132	0	12	0	132	12	1.0	0.972	1.0	0.0	0.0	0.243	0.917	0.86	0.952	1.0	0.757	1.0	0.0	0.917	0.5	0.957	0.0	3.0	3.0	3.0	Reference threshold based on the negative mean plus two standard deviations.	1	1.0	2.0	2	At or below 1 the signal is usually background. Above 1 and below 2 is a grey zone. At or above 2 the signal is more likely to be real in the current benchmark.	High overlap between background and true signal
multi_read	minimap_target_alignments	Plasmodium falciparum	1	0.05	264	24	1	0	264	0	24	264	24	0.0	0.0	0.014	1	0.862	1.0				0	0	0.138	1.0	0.083	0.5	0.0	0.0				Threshold set just above the maximum observed negative value, so no observed negatives exceed it in the current data.	multi_read	minimap_target_alignments	Plasmodium falciparum	1	0	264	0	24	264	24	0.0	0.0	0.014	1.0	0.862	1.0				0.0	0.0	0.138	1.0	0.083	0.5	0.0	0.0				0.0	1.0	0.0	Threshold chosen to maximise Youden's J, balancing sensitivity and specificity.	multi_read	minimap_target_alignments	Plasmodium falciparum	1	0	264	0	24	264	24	0.0	0.0	0.014	1.0	0.862	1.0				0.0	0.0	0.138	1.0	0.083	0.5	0.0	0.0				Selected from thresholds with observed false-positive rate at or below the requested target.	1.0	0	264	0	24	264	24	0.0	0.0	0.014	1.0	0.862	1.0				0.0	0.0	0.138	1.0	0.083	0.5	0.0	0.0				Reference threshold based on the negative mean plus two standard deviations.	1			1	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.	High overlap between background and true signal
